elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
283,downstairs,9.1033535,-3.8468835,-2.2589293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
299,downstairs,9.007586,-3.9223008,-2.508525,-0.18216008,0.009454215,-0.11331742,-62.8875,-1.2750001,-16.087502,-125.984726,-105.119965,22.940903,-0.18216008,0.009454215,-0.11331742,-0.02560234,-0.049582005,0.007704973,8.731177,-3.7509055,-2.4223218,-62.8875,-1.2750001,-16.087502,downstairs
315,downstairs,8.9279785,-3.9558198,-2.2284033,-0.2042643,0.027563697,-0.12596743,-62.737503,-1.2750001,-15.468751,-129.93015,-102.74453,24.085073,-0.2042643,0.027563697,-0.12596743,-0.07800293,-0.0696218,0.20758247,8.741657,-3.7772806,-2.3422146,-62.737503,-1.2750001,-15.468751,downstairs
336,downstairs,8.346786,-4.036624,-1.7525556,-0.18642114,0.03315633,-0.11891005,-61.818752,-1.8937501,-15.468751,-132.49286,-101.82137,25.563835,-0.18642114,0.03315633,-0.11891005,-0.4783821,-0.12776232,0.44010925,8.741372,-3.8806508,-2.1677957,-61.818752,-1.8937501,-15.468751,downstairs
355,downstairs,8.200141,-3.9785647,-1.7106571,-0.16445008,0.032357384,-0.09054741,-62.268753,-1.725,-16.087502,-130.45383,-102.89942,24.72758,-0.16445008,0.032357384,-0.09054741,-0.51002216,-0.062466145,0.3947085,8.737543,-3.9171758,-2.1169431,-62.268753,-1.725,-16.087502,downstairs
377,downstairs,8.271967,-3.8540661,-1.9488802,-0.15459639,0.03834949,-0.06245108,-62.60625,-0.975,-16.237501,-127.57378,-104.62038,23.794634,-0.15459639,0.03834949,-0.06245108,-0.38133144,0.04059124,0.12716043,8.735811,-3.9228132,-2.1136549,-62.60625,-0.975,-16.237501,downstairs
397,downstairs,8.182783,-3.6828809,-2.131438,-0.22037642,0.037550543,-0.028229486,-62.5875,-1.125,-15.937501,-127.2303,-104.73943,23.682318,-0.22037642,0.037550543,-0.028229486,-0.3413763,0.11280489,-0.051068306,8.734062,-3.9136586,-2.1377141,-62.5875,-1.125,-15.937501,downstairs
415,downstairs,8.181585,-3.6092591,-2.0745757,-0.2515354,0.042610545,0.008255793,-62.1375,-1.7437501,-15.618751,-126.902435,-104.81359,23.633327,-0.2515354,0.042610545,0.008255793,-0.34071445,0.20022202,0.055205107,8.734578,-3.893274,-2.1725445,-62.1375,-1.7437501,-15.618751,downstairs
436,downstairs,8.248025,-3.454833,-1.9859903,-0.27257434,0.05672529,0.04607265,-61.8375,-1.7437501,-16.087502,-126.67426,-104.63631,23.33321,-0.27257434,0.05672529,0.04607265,-0.24280548,0.3190875,0.13323331,8.742468,-3.8737488,-2.1757085,-61.8375,-1.7437501,-16.087502,downstairs
455,downstairs,8.411429,-3.3237505,-1.903989,-0.2850912,0.08149267,0.07576688,-62.1375,-1.1437501,-16.556252,-126.37654,-102.82075,21.11513,-0.2850912,0.08149267,0.07576688,-0.073334694,0.41553926,0.20437086,8.75667,-3.8460371,-2.167743,-62.1375,-1.1437501,-16.556252,downstairs
476,downstairs,8.6257105,-3.1142578,-1.7322049,-0.2527338,0.09440899,0.06910898,-61.687504,-1.44375,-16.556252,-126.16563,-102.609215,20.892262,-0.2527338,0.09440899,0.06910898,0.08146763,0.5127051,0.29586577,8.77695,-3.8097773,-2.1496818,-61.687504,-1.44375,-16.556252,downstairs
492,downstairs,8.591593,-3.0544028,-1.7591397,-0.21065588,0.1013332,0.057657395,-61.687504,-1.1437501,-16.556252,-126.000626,-102.474815,20.691488,-0.21065588,0.1013332,0.057657395,0.07525635,0.55346394,0.27086997,8.817168,-3.7391586,-2.1086984,-61.687504,-1.1437501,-16.556252,downstairs
510,downstairs,8.591593,-3.0544028,-1.7591397,-0.15965639,0.09241162,0.06458161,-61.55625,-0.71250004,-17.175001,-125.91418,-102.44803,20.692276,-0.15965639,0.09241162,0.06458161,0.069898605,0.54592586,0.14394689,8.817168,-3.7391586,-2.1086984,-61.55625,-0.71250004,-17.175001,downstairs
526,downstairs,8.726865,-2.9646204,-1.9877859,-0.108124256,0.072837405,0.080294244,-61.256252,-0.8625,-17.175001,-125.73647,-102.414696,20.431086,-0.108124256,0.072837405,0.080294244,0.21085644,0.5906522,0.023023844,8.844848,-3.682085,-2.0931587,-61.256252,-0.8625,-17.175001,downstairs
546,downstairs,8.838196,-2.9041667,-2.034473,-0.07243793,0.051265813,0.093476884,-61.706253,-0.84375006,-17.175001,-125.52029,-102.47035,20.12934,-0.07243793,0.051265813,0.093476884,0.29718113,0.61579514,-0.019228697,8.856702,-3.6550639,-2.0903883,-61.706253,-0.84375006,-17.175001,downstairs
566,downstairs,8.96449,-2.9694088,-2.1577742,-0.050466865,0.05619266,0.10359689,-62.175003,-0.24375,-16.556252,-125.24191,-102.575775,19.925516,-0.050466865,0.05619266,0.10359689,0.41986084,0.53641963,-0.14955902,8.865578,-3.6330986,-2.091054,-62.175003,-0.24375,-16.556252,downstairs
585,downstairs,9.02614,-3.0041246,-2.11827,-0.04953476,0.060986344,0.1130511,-61.575,-0.13125001,-16.575,-125.1859,-102.58683,19.742676,-0.04953476,0.060986344,0.1130511,0.45315552,0.48954964,-0.09015155,8.879962,-3.6047966,-2.0789676,-61.575,-0.13125001,-16.575,downstairs
605,downstairs,9.159617,-3.1064768,-2.0805612,-0.025166854,0.059388448,0.114382684,-62.175003,-0.39375,-17.025002,-124.73312,-102.489456,19.742676,-0.025166854,0.059388448,0.114382684,0.56513786,0.3743806,-0.07085037,8.879962,-3.6047966,-2.0789676,-62.175003,-0.39375,-17.025002,downstairs
625,downstairs,9.346365,-3.2632968,-1.9560628,0.002530001,0.04101265,0.10879005,-62.737503,-0.80625004,-17.475,-124.58594,-102.369675,19.72977,0.002530001,0.04101265,0.10879005,0.69829655,0.23509002,0.049800754,8.890847,-3.5920887,-2.0542948,-62.737503,-0.80625004,-17.475,downstairs
644,downstairs,9.454104,-3.2261868,-2.0284874,0.028495802,0.039947387,0.09693899,-62.60625,-0.675,-17.625,-124.39536,-102.38066,19.634611,0.028495802,0.039947387,0.09693899,0.7810726,0.27415633,-0.048860908,8.896681,-3.5840127,-2.043114,-62.60625,-0.675,-17.625,downstairs
665,downstairs,9.580399,-3.1399956,-2.0685902,0.04101265,0.03581949,0.080960035,-62.756252,-0.375,-17.175001,-124.2271,-102.30259,19.374668,0.04101265,0.03581949,0.080960035,0.8642721,0.36341166,-0.07795179,8.904526,-3.570338,-2.0328524,-62.756252,-0.375,-17.175001,downstairs
685,downstairs,9.683349,-2.9933507,-2.0817583,0.050999496,0.026232118,0.01944106,-62.625004,-0.22500001,-17.025002,-124.277664,-102.20904,18.970531,0.050999496,0.026232118,0.01944106,0.9897661,0.6236992,-0.09923935,8.915537,-3.5482993,-2.0231583,-62.625004,-0.22500001,-17.025002,downstairs
705,downstairs,9.844358,-2.7778726,-2.1942859,0.022503695,0.069508456,-0.024234748,-62.60625,-0.65625,-18.09375,-124.28922,-102.102005,18.402441,0.022503695,0.069508456,-0.024234748,1.0107155,0.6578338,-0.2202456,8.947649,-3.477767,-2.0037723,-62.60625,-0.65625,-18.09375,downstairs
725,downstairs,9.928755,-2.7216089,-2.1523874,-0.029827382,0.16045533,-0.069242135,-63.187504,-0.63750005,-18.09375,-124.2622,-101.74248,17.803326,-0.029827382,0.16045533,-0.069242135,1.0527859,0.6793499,-0.17664683,8.971152,-3.4305437,-1.9799446,-63.187504,-0.63750005,-18.09375,downstairs
745,downstairs,9.888053,-2.7724855,-1.8483237,-0.0912132,0.44834283,-0.13502216,-63.375004,0.39375,-17.475,-124.245,-101.46548,17.376965,-0.0912132,0.44834283,-0.13502216,0.9579458,0.5850589,0.068149924,9.000125,-3.3832712,-1.9291505,-63.375004,0.39375,-17.475,downstairs
766,downstairs,10.046669,-2.7605145,-2.154183,-0.14460954,0.46645233,-0.17230639,-62.925003,0.22500001,-17.643751,-123.985886,-100.9718,16.76251,-0.14460954,0.46645233,-0.17230639,1.0587883,0.5519743,-0.30275393,9.031622,-3.3306577,-1.8726727,-62.925003,0.22500001,-17.643751,downstairs
