elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
251,running,9.284714,-0.7679402,-1.6555905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,running
276,running,6.987478,-1.7770962,-3.1950622,0.38962018,-0.40333545,0.14966954,-48.43125,-1.2375001,-30.281252,-98.21176,-125.83207,19.803522,0.38962018,-0.40333545,0.14966954,-0.46625948,-0.1482116,-0.3954363,9.31311,-1.6112736,-2.6153705,-48.43125,-1.2375001,-30.281252,running
293,running,5.9292407,-2.8191724,-4.4436383,0.26791382,-0.4921518,0.26125592,-47.775,-2.7375002,-29.962502,-97.96226,-127.7029,21.204575,0.26791382,-0.4921518,0.26125592,-1.3460732,-0.5742943,-0.9211986,9.004444,-1.9250394,-3.374108,-47.775,-2.7375002,-29.962502,running
311,running,6.415862,-2.7730842,-4.988918,0.094142675,-0.51612025,0.34354752,-47.04375,-2.625,-29.5125,-96.38547,-127.63562,15.535291,0.094142675,-0.51612025,0.34354752,-0.81058884,-0.84341764,-1.1115856,8.697256,-2.2726278,-3.919603,-47.04375,-2.625,-29.5125,running
331,running,7.421427,-1.9937714,-5.0787005,-0.16884428,-0.4665855,0.38868806,-47.643753,-2.30625,-28.425001,-93.62563,-110.59223,2.4903984,-0.16884428,-0.4665855,0.38868806,-0.07591915,-0.25755048,-1.3237088,8.218673,-2.6426587,-4.6519003,-47.643753,-2.30625,-28.425001,running
351,running,9.090784,-0.9032126,-4.1078515,-0.44248387,-0.36804858,0.4326302,-48.73125,-1.7062501,-27.656252,-90.81519,-106.27757,-0.68646073,-0.44248387,-0.36804858,0.4326302,1.0924611,0.5847671,-0.654418,8.213851,-2.4912622,-4.743065,-48.73125,-1.7062501,-27.656252,running
371,running,10.8708725,0.109534726,-3.259107,-0.5852292,-0.28682223,0.4101265,-49.800003,-0.61875004,-27.656252,-90.44273,-106.42886,-0.56844157,-0.5852292,-0.28682223,0.4101265,2.5494814,1.4909308,0.34227586,8.581595,-1.8268107,-4.3805685,-49.800003,-0.61875004,-27.656252,running
391,running,14.476541,1.9602526,-3.2680852,-0.5873597,-0.2561959,0.36911386,-51.187504,0.75,-27.675001,-89.87531,-106.66315,-0.39944634,-0.5873597,-0.2561959,0.36911386,5.2058287,2.765051,0.8111751,8.581595,-1.8268107,-4.3805685,-51.187504,0.75,-27.675001,running
411,running,15.284584,2.8269536,-3.66253,-0.6082655,-0.14580797,0.26298696,-51.656254,1.06875,-27.975,-89.39434,-106.87927,-0.5368966,-0.6082655,-0.14580797,0.26298696,6.047118,3.4085073,0.5303097,8.938427,-1.0064305,-3.9066625,-51.656254,1.06875,-27.975,running
431,running,15.163676,2.9137435,-4.300585,-0.5950829,-0.11038794,0.08748478,-51.6375,0.75,-27.206251,-89.21175,-107.31105,-0.86685234,-0.5950829,-0.11038794,0.08748478,5.8763027,3.6091807,-0.04288578,9.036101,-0.61764425,-3.7600238,-51.6375,0.75,-27.206251,running
451,running,14.507666,2.3415294,-4.6261964,-0.30692908,-0.47750443,-0.22410484,-51.225002,1.48125,-27.206251,-89.14278,-107.63029,-1.0312555,-0.30692908,-0.47750443,-0.22410484,5.05758,3.0647964,-0.45928907,9.073778,-0.11492448,-3.7180278,-51.225002,1.48125,-27.206251,running
471,running,13.121423,-0.04070143,-4.678869,-0.10466215,-0.6149234,-0.229298,-51.375004,1.63125,-27.056252,-89.20865,-108.30904,-1.2651136,-0.10466215,-0.6149234,-0.229298,3.9920073,2.0580583,-0.54811764,9.055511,-0.030040279,-3.7639325,-51.375004,1.63125,-27.056252,running
491,running,12.558785,-1.2635399,-4.0216603,0.11171953,-0.20319904,0.036218964,-51.506252,1.0500001,-26.737501,-89.21119,-108.65752,-1.2584918,0.11171953,-0.20319904,0.036218964,2.2853184,-0.55844414,-0.092680454,9.048178,-0.051813133,-3.7812948,-51.506252,1.0500001,-26.737501,running
510,running,12.226589,-2.0332758,-3.1627405,0.11171953,-0.20319904,0.036218964,-51.80625,1.2,-27.50625,-89.31176,-108.50934,-0.84316605,0.11171953,-0.20319904,0.036218964,1.9048281,-1.4449337,0.6775472,9.067092,-0.14830124,-3.733126,-51.80625,1.2,-27.50625,running
531,running,11.250354,-2.4983494,-2.6318262,0.45926178,0.23715432,0.18722008,-52.55625,1.2375001,-27.206251,-89.54553,-108.34407,-0.6420614,0.45926178,0.23715432,0.18722008,1.3719816,-1.94405,1.3993139,9.139202,-0.44789082,-3.5277138,-52.55625,1.2375001,-27.206251,running
547,running,7.643489,-2.771887,-3.0998926,0.5202481,0.34354752,0.21611536,-52.0875,0.46875003,-26.8875,-89.78313,-107.928116,-0.22770713,0.5202481,0.34354752,0.21611536,-0.23860359,-2.1583307,1.5380034,9.139202,-0.44789082,-3.5277138,-52.0875,0.46875003,-26.8875,running
565,running,5.410896,-2.6330233,-2.6330233,0.49361655,0.38549227,0.22876537,-51.187504,0.6,-27.50625,-89.81331,-107.71054,0.0026808493,0.49361655,0.38549227,0.22876537,-1.9333363,-2.1511056,1.0767279,9.16256,-0.76594615,-3.4104521,-51.187504,0.6,-27.50625,running
585,running,4.0462008,-2.260725,-2.4349031,0.51612025,0.36791542,0.31811434,-48.506252,0.65625,-27.525002,-90.09905,-107.28409,0.5458053,0.51612025,0.36791542,0.31811434,-3.7059202,-1.826477,0.8909745,9.159211,-0.9293694,-3.3786867,-48.506252,0.65625,-27.525002,running
606,running,3.3967736,-1.2509704,-1.9782091,0.5211802,0.4135886,0.35792857,-46.10625,0.43125,-27.843752,-90.6149,-106.38823,1.4152874,0.5211802,0.4135886,0.35792857,-6.101882,-0.65828955,1.380085,9.160705,-1.0641013,-3.3346002,-46.10625,0.43125,-27.843752,running
626,running,2.8269536,-0.34835634,-1.8782512,0.44035336,0.65313977,0.43902177,-45.075,0.99375004,-28.781252,-90.71917,-106.002846,1.7305652,0.44035336,0.65313977,0.43902177,-6.532134,0.3679403,1.5489655,9.189491,-1.2353,-3.1933796,-45.075,0.99375004,-28.781252,running
645,running,2.9712043,1.3796587,-1.2485762,0.3420828,0.761264,0.50773126,-44.025,1.10625,-29.1,-90.9391,-105.12239,2.392841,0.3420828,0.761264,0.50773126,-6.4749784,2.1658683,1.6203357,9.189491,-1.2353,-3.1933796,-44.025,1.10625,-29.1,running
665,running,3.526659,2.1218612,-0.49559975,0.24940485,0.8197204,0.5219792,-43.875,1.10625,-29.56875,-91.06424,-104.21043,3.0270329,0.24940485,0.8197204,0.5219792,-5.7550354,2.9876926,1.8546581,9.218088,-1.2777021,-3.0926876,-43.875,1.10625,-29.56875,running
685,running,4.8309007,2.5540147,0.6338649,0.56419027,0.32796803,0.2559296,-44.643753,1.8750001,-30.187502,-91.435776,-103.62752,3.546617,0.56419027,0.32796803,0.2559296,-4.8410325,3.535163,2.704582,9.302462,-1.2532481,-2.8397102,-44.643753,1.8750001,-30.187502,running
705,running,6.543952,2.7629087,1.2976574,0.9608678,-0.11584742,-0.05219792,-45.28125,2.9437501,-29.8875,-92.397964,-103.57085,3.79708,0.9608678,-0.11584742,-0.05219792,-3.0991383,3.828268,3.5543187,9.38702,-1.0912467,-2.6198146,-45.28125,2.9437501,-29.8875,running
725,running,7.380127,-0.22325931,-0.43634325,1.3703285,-0.70613664,-0.2717754,-47.662502,3.0187502,-30.018751,-94.93836,-104.77558,3.9439056,1.3703285,-0.70613664,-0.2717754,-1.5607119,3.606727,3.5231104,9.38702,-1.0912467,-2.6198146,-47.662502,3.0187502,-30.018751,running
745,running,8.862736,-2.4277205,-1.0235212,1.6358454,-0.99349153,-0.2970754,-48.825,1.7062501,-28.7625,-95.94706,-105.29225,4.0538473,1.6358454,-0.99349153,-0.2970754,-0.58647346,-0.13747853,1.9210541,9.384014,-1.0404645,-2.651059,-48.825,1.7062501,-28.7625,running
765,running,10.757747,-4.783615,-2.7922378,1.7614135,-1.0190579,-0.22357221,-51.318752,-0.3,-26.737501,-98.63692,-106.70567,4.6115503,1.7614135,-1.0190579,-0.22357221,1.1429539,-2.4676294,0.8357197,9.322108,-1.2069517,-2.7949862,-51.318752,-0.3,-26.737501,running
785,running,13.172897,-5.547964,-4.243124,1.2275832,-0.86912197,0.09960215,-53.193752,-2.4562502,-26.081251,-99.27703,-107.15312,4.8804345,1.2275832,-0.86912197,0.09960215,3.221963,-4.0726395,-0.99614596,9.2097845,-1.5680022,-2.9818816,-53.193752,-2.4562502,-26.081251,running
805,running,16.849792,-7.2963295,-2.8975825,0.95234567,-0.724113,0.44328284,-53.30625,-3.4875002,-24.843752,-100.14899,-107.89215,5.6945896,0.95234567,-0.724113,0.44328284,5.150214,-4.2724013,-1.42255,9.2097845,-1.5680022,-2.9818816,-53.30625,-3.4875002,-24.843752,running
825,running,18.910603,-6.8581905,-4.1240125,0.7138598,-0.5478118,0.7060035,-53.456253,-3.6375,-24.843752,-100.60645,-108.4261,6.6752834,0.7138598,-0.5478118,0.7060035,8.529582,-5.2326765,-0.2703104,9.120384,-2.0342252,-2.975047,-53.456253,-3.6375,-24.843752,running
859,running,20.694881,-3.719991,-6.2644286,0.42064598,-0.42064598,0.4322307,-53.60625,-3.6375,-24.525002,-100.84033,-108.784966,6.8123727,0.42064598,-0.42064598,0.4322307,11.100359,-3.5477684,-2.3703325,9.098567,-2.112743,-2.9871044,-53.60625,-3.6375,-24.525002,running
