elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
289,stand_to_sit,0.41060558,1.5185224,8.288128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
306,stand_to_sit,0.41060558,1.5185224,8.288128,0.09494162,0.19041587,0.0468716,0.0,0.0,0.0,0.0,0.0,0.0,0.09494162,0.19041587,0.0468716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
330,stand_to_sit,0.14604631,0.97982705,8.47727,-0.0972053,-0.15393059,-0.066978455,29.75625,11.45625,-45.16875,-62.45787,-1.4560431,-6.05247,-0.0972053,-0.15393059,-0.066978455,-0.055861354,-0.21668553,0.3132267,0.19597432,1.4987268,9.689469,29.75625,11.45625,-45.16875,stand_to_sit
346,stand_to_sit,0.3172317,0.83497787,8.528147,-0.18722008,-0.16777903,-0.054062128,29.2875,11.775001,-45.16875,-63.9856,-2.9996455,-4.803638,-0.18722008,-0.16777903,-0.054062128,0.1728386,-0.33252025,0.4638462,0.2934025,1.263071,9.720543,29.2875,11.775001,-45.16875,stand_to_sit
365,stand_to_sit,0.46267948,0.694917,8.94773,-0.26525065,-0.16990955,-0.038216334,29.587502,11.90625,-44.86875,-65.3384,-3.09671,-4.0820246,-0.26525065,-0.16990955,-0.038216334,0.19025385,-0.3692569,0.6990862,0.2934025,1.263071,9.720543,29.587502,11.90625,-44.86875,stand_to_sit
386,stand_to_sit,0.52253455,0.5847838,9.288305,-0.34008542,-0.17710008,-0.0042610546,29.8875,12.0375,-44.568752,-66.553894,-3.5573373,-2.9917705,-0.34008542,-0.17710008,-0.0042610546,0.2356138,-0.32731634,1.0578337,0.41004544,1.0059712,9.746296,29.8875,12.0375,-44.568752,stand_to_sit
405,stand_to_sit,0.7350199,0.59615624,10.355521,-0.36844805,-0.09041425,0.03968107,28.81875,12.375001,-44.4,-66.619835,-3.54714,-2.6172109,-0.36844805,-0.09041425,0.03968107,0.2992394,-0.23466027,1.4307089,0.45285368,0.8978096,9.75496,28.81875,12.375001,-44.4,stand_to_sit
425,stand_to_sit,0.79487497,0.682946,10.470443,-0.30679592,0.03728423,0.062983714,28.368752,12.375001,-44.550003,-66.64818,-3.489496,-2.491242,-0.30679592,0.03728423,0.062983714,0.34880683,-0.10401571,1.5324526,0.48503023,0.7886919,9.762843,28.368752,12.375001,-44.550003,stand_to_sit
445,stand_to_sit,0.729633,0.7308301,10.115502,-0.057124764,0.13781849,0.07776424,28.66875,12.675,-44.4,-65.09869,-4.059487,-4.259742,-0.057124764,0.13781849,0.07776424,0.3037352,-0.021388352,1.2084532,0.48503023,0.7886919,9.762843,28.66875,12.675,-44.4,stand_to_sit
466,stand_to_sit,0.55126494,0.8415619,9.352949,0.04034686,0.124769,0.10506163,29.250002,12.937501,-43.95,-65.14415,-3.9352064,-4.378635,0.04034686,0.124769,0.10506163,0.13974169,0.06387687,0.32762432,0.47688457,0.791191,9.7630415,29.250002,12.937501,-43.95,stand_to_sit
