elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
285,downstairs,0.09696517,0.25258827,9.51336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
303,downstairs,0.09696517,0.25258827,9.51336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstairs
319,downstairs,0.10115502,0.26396075,9.512762,0.0,0.0,0.0,-16.85625,-6.525,-41.5875,114.09713,-0.30382946,-1.7419093,0.0,0.0,0.0,-0.002560392,3.2153726E-4,0.0043411255,0.104543254,0.2705299,9.80236,-16.85625,-6.525,-41.5875,downstairs
340,downstairs,0.088585466,0.25617957,9.513959,0.0,0.0,0.0,-15.637501,-6.8437505,-42.35625,112.335266,-0.2566209,-1.7647865,0.0,0.0,0.0,-0.010436103,-0.007666439,0.0025167465,0.10185897,0.2685686,9.802443,-15.637501,-6.8437505,-42.35625,downstairs
359,downstairs,0.08678981,0.25139117,9.506777,0.0,0.0,0.0,-15.187501,-7.0125003,-42.35625,111.66112,-0.40298676,-1.7394036,0.0,0.0,0.0,-0.008619472,-0.007893637,-0.0048732758,0.098774135,0.26515782,9.8025675,-15.187501,-7.0125003,-42.35625,downstairs
377,downstairs,0.10414778,0.2693477,9.512762,0.0,0.0,0.0,-15.656251,-6.8437505,-41.737503,111.6618,-0.2667642,-1.7626324,0.0,0.0,0.0,0.009642541,0.014856368,0.0033302307,0.10030432,0.26729655,9.802493,-15.656251,-6.8437505,-41.737503,downstairs
397,downstairs,0.108936176,0.26036942,9.507375,0.0,0.0,0.0,-16.3875,-7.275,-41.41875,111.35704,-0.26648125,-1.7631383,0.0,0.0,0.0,0.010351852,-0.0016629696,-0.0023593903,0.10173552,0.26705718,9.802485,-16.3875,-7.275,-41.41875,downstairs
417,downstairs,0.06404489,0.24121583,9.51336,0.0,0.0,0.0,-16.5375,-7.275,-41.5875,111.03868,-0.26691195,-1.7631794,0.0,0.0,0.0,-0.0130139515,-0.010149896,-0.0023918152,0.1002195,0.26594254,9.802531,-16.5375,-7.275,-41.5875,downstairs
437,downstairs,0.10235212,0.2633622,9.513959,0.0,0.0,0.0,-16.5375,-7.1250005,-41.737503,109.91366,-0.29348934,-1.7592609,0.0,0.0,0.0,0.0089783,0.009149492,0.0035429,0.098212704,0.26515839,9.802573,-16.5375,-7.1250005,-41.737503,downstairs
457,downstairs,0.13108255,0.26874915,9.506777,0.0,0.0,0.0,-15.76875,-7.4437504,-42.037502,109.896866,-0.36554772,-1.7213591,0.0,0.0,0.0,0.036915183,0.007848173,-0.004462242,0.101501726,0.26589173,9.80252,-15.76875,-7.4437504,-42.037502,downstairs
477,downstairs,0.12569559,0.25617957,9.515156,0.0,0.0,0.0,-15.4875,-7.4437504,-41.5875,109.974556,-0.43959272,-1.7100022,0.0,0.0,0.0,0.021530949,-0.0021682382,0.0058603287,0.103163935,0.26571494,9.802507,-15.4875,-7.4437504,-41.5875,downstairs
497,downstairs,0.06823475,0.24420857,9.513959,0.0,0.0,0.0,-15.937501,-7.2937503,-40.818752,110.0545,-0.413001,-1.6771839,0.0,0.0,0.0,-0.006489724,0.00326702,0.0018396378,0.102739446,0.26596984,9.802505,-15.937501,-7.2937503,-40.818752,downstairs
517,downstairs,0.07062895,0.25198972,9.504981,0.0,0.0,0.0,-15.7875,-7.14375,-41.4375,110.12859,-0.42428803,-1.6389449,0.0,0.0,0.0,-0.020785853,-0.0052019954,-0.0037136078,0.099277474,0.2645254,9.802579,-15.7875,-7.14375,-41.4375,downstairs
537,downstairs,0.109534726,0.26396075,9.505579,0.0,0.0,0.0,-15.7875,-7.14375,-42.05625,110.24774,-0.44490725,-1.6062348,0.0,0.0,0.0,0.0190463,0.012640566,-0.0029411316,0.10048335,0.26526374,9.8025465,-15.7875,-7.14375,-42.05625,downstairs
