elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
243,sitting,0.18734628,0.28670564,9.504981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sitting
263,sitting,0.1604115,0.2813187,9.507375,-0.0011984216,3.9947388E-4,5.326318E-4,-22.40625,-1.4625001,-41.1375,89.604996,-1.3123775,-1.303364,-0.0011984216,3.9947388E-4,5.326318E-4,-0.025986105,2.297759E-4,0.004486084,0.17646937,0.29371944,9.800661,-22.40625,-1.4625001,-41.1375,sitting
282,sitting,0.17657238,0.29209262,9.513959,-3.9947388E-4,-3.9947388E-4,-6.6578976E-4,-21.9375,-1.7812501,-40.66875,90.04932,-1.3038341,-1.3049564,-3.9947388E-4,-3.9947388E-4,-6.6578976E-4,0.0015294254,0.008336544,-0.00157547,0.1771125,0.2964812,9.800567,-21.9375,-1.7812501,-40.66875,sitting
302,sitting,0.19692309,0.2837129,9.500193,-7.9894776E-4,-0.0013315795,-0.0010652636,-21.956251,-1.5,-40.068752,90.07736,-1.3667063,-1.3685523,-7.9894776E-4,-0.0013315795,-0.0010652636,0.012135074,-0.001661241,-0.0029354095,0.18038301,0.29601133,9.800521,-21.956251,-1.5,-40.068752,sitting
322,sitting,0.20410569,0.28072014,9.513959,-0.0,-5.326318E-4,-6.6578976E-4,-22.85625,-1.3125,-39.75,90.2415,-1.3689928,-1.3747748,-0.0,-5.326318E-4,-6.6578976E-4,0.02450341,-0.005355984,0.0025424957,0.18551414,0.29486665,9.800461,-22.85625,-1.3125,-39.75,sitting
343,sitting,0.18495208,0.2873042,9.507974,-5.326318E-4,0.0010652636,6.6578976E-4,-22.85625,-1.3125,-39.600002,89.76565,-1.3771468,-1.3717285,-5.326318E-4,0.0010652636,6.6578976E-4,-0.02016738,0.002803862,0.0014486313,0.18782295,0.29477686,9.800419,-22.85625,-1.3125,-39.600002,sitting
363,sitting,0.15502456,0.29149407,9.510966,-0.0010652636,0.0,3.9947388E-4,-22.875,-1.1812501,-39.600002,89.90015,-1.3764634,-1.3706619,-0.0010652636,0.0,3.9947388E-4,-0.013688371,0.0060970485,2.2029877E-4,0.18293546,0.295721,9.800483,-22.875,-1.1812501,-39.600002,sitting
384,sitting,0.19033903,0.28072014,9.505579,-7.9894776E-4,-6.6578976E-4,-7.9894776E-4,-22.425001,-1.1812501,-39.75,90.017166,-1.3482884,-1.4134716,-7.9894776E-4,-6.6578976E-4,-7.9894776E-4,0.010523036,-0.0038384497,0.002081871,0.18419531,0.295158,9.800477,-22.425001,-1.1812501,-39.75,sitting
403,sitting,0.19512744,0.2777274,9.510966,-5.326318E-4,-2.663159E-4,-2.663159E-4,-22.237501,-1.7812501,-40.518753,90.218285,-1.3731568,-1.3763659,-5.326318E-4,-2.663159E-4,-2.663159E-4,0.0037929863,-0.0024164617,-0.0018854141,0.18560553,0.2940487,9.800484,-22.237501,-1.7812501,-40.518753,sitting
423,sitting,0.18136078,0.28491,9.507375,-9.321057E-4,0.0,6.6578976E-4,-21.50625,-1.5,-40.36875,90.31178,-1.3089459,-1.4001114,-9.321057E-4,0.0,6.6578976E-4,0.0037929863,-0.0024164617,-0.0018854141,0.18539406,0.2944019,9.800477,-21.50625,-1.5,-40.36875,sitting
443,sitting,0.17357962,0.28491,9.505579,-7.9894776E-4,-0.0,1.3315796E-4,-21.375,-1.3687501,-39.600002,90.38759,-1.2415439,-1.4204553,-7.9894776E-4,-0.0,1.3315796E-4,-0.010204539,5.784035E-4,-0.0018806458,0.18460007,0.29433337,9.800493,-21.375,-1.3687501,-39.600002,sitting
463,sitting,0.18614918,0.2837129,9.512762,-2.663159E-4,-2.663159E-4,2.663159E-4,-21.956251,-1.35,-40.36875,90.46068,-1.2062699,-1.4735417,-2.663159E-4,-2.663159E-4,2.663159E-4,0.0041437447,-0.003069371,0.0018758774,0.18492337,0.29407904,9.800496,-21.956251,-1.35,-40.36875,sitting
483,sitting,0.1933318,0.27712885,9.514558,-6.6578976E-4,1.3315796E-4,-2.663159E-4,-21.806252,-1.8000001,-40.21875,90.54565,-1.1921338,-1.4934077,-6.6578976E-4,1.3315796E-4,-2.663159E-4,0.014817879,-0.0038926303,0.0045642853,0.18594535,0.29368404,9.8004875,-21.806252,-1.8000001,-40.21875,sitting
503,sitting,0.18255788,0.28191724,9.514558,-7.9894776E-4,1.3315796E-4,0.0010652636,-21.487501,-1.95,-40.518753,90.54664,-1.1913155,-1.4938672,-7.9894776E-4,1.3315796E-4,0.0010652636,-0.007942468,-0.008017004,-0.0077400208,0.18640885,0.29326195,9.800492,-21.487501,-1.95,-40.518753,sitting
523,sitting,0.17118542,0.27952304,9.507375,-5.326318E-4,1.3315796E-4,7.9894776E-4,-22.3875,-1.9125,-40.66875,90.75326,-1.1738712,-1.5019816,-5.326318E-4,1.3315796E-4,7.9894776E-4,-0.0049566478,4.156828E-4,-2.48909E-4,0.18566024,0.29263705,9.800525,-22.3875,-1.9125,-40.66875,sitting
539,sitting,0.17836803,0.28550854,9.508572,-1.3315796E-4,-2.663159E-4,6.6578976E-4,-22.66875,-2.34375,-40.66875,90.89988,-1.1479343,-1.4975241,-1.3315796E-4,-2.663159E-4,6.6578976E-4,0.0018368512,-0.0012866557,0.005166054,0.18574752,0.29253256,9.800527,-22.66875,-2.34375,-40.66875,sitting
559,sitting,0.19931729,0.2896984,9.513959,-3.9947388E-4,-1.3315796E-4,0.0011984216,-22.5375,-2.2125,-40.66875,90.90053,-1.1679976,-1.5040475,-3.9947388E-4,-1.3315796E-4,0.0011984216,0.016223624,0.0028381646,0.0071983337,0.18664311,0.29258797,9.8005085,-22.5375,-2.2125,-40.66875,sitting
578,sitting,0.18674773,0.27473465,9.512762,-3.9947388E-4,9.321057E-4,9.321057E-4,-21.806252,-1.5,-40.068752,91.046234,-1.1569782,-1.5206653,-3.9947388E-4,9.321057E-4,9.321057E-4,0.0072360486,-0.0026259422,0.0011548996,0.18696,0.2923573,9.800508,-21.806252,-1.5,-40.068752,sitting
599,sitting,0.16699557,0.28431144,9.51336,-7.9894776E-4,3.9947388E-4,0.0011984216,-21.50625,-1.8000001,-40.21875,91.16711,-1.1451545,-1.5273498,-7.9894776E-4,3.9947388E-4,0.0011984216,-0.010953695,-0.005911678,2.4318695E-4,0.18598732,0.29216304,9.800532,-21.50625,-1.8000001,-40.21875,sitting
621,sitting,0.17896658,0.2861071,9.509171,-7.9894776E-4,-1.3315796E-4,9.321057E-4,-21.806252,-1.8000001,-39.600002,91.29133,-1.1342101,-1.5417519,-7.9894776E-4,-1.3315796E-4,9.321057E-4,-0.0033462048,0.0023787022,0.0019407272,0.18583563,0.29213187,9.800536,-21.806252,-1.8000001,-39.600002,sitting
640,sitting,0.18375498,0.27712885,9.500193,-0.0011984216,-2.663159E-4,3.9947388E-4,-21.525002,-1.06875,-39.45,91.39528,-1.1348181,-1.5542845,-0.0011984216,-2.663159E-4,3.9947388E-4,0.008458674,-0.0032698512,-0.0038433075,0.185967,0.29173458,9.800546,-21.525002,-1.06875,-39.45,sitting
659,sitting,0.18854338,0.2861071,9.511565,-0.0011984216,-2.663159E-4,-3.9947388E-4,-21.525002,-1.3687501,-40.068752,91.39494,-1.1256467,-1.5354338,-0.0011984216,-2.663159E-4,-3.9947388E-4,0.008458674,-0.0032698512,-0.0038433075,0.18601555,0.29083,9.800571,-21.525002,-1.3687501,-40.068752,sitting
679,sitting,0.16579847,0.29029694,9.515156,-0.0010652636,-1.3315796E-4,3.9947388E-4,-21.956251,-1.7812501,-40.36875,91.39414,-1.1267943,-1.5663797,-0.0010652636,-1.3315796E-4,3.9947388E-4,-0.0077027977,-0.014601499,0.0032167435,0.18601555,0.29083,9.800571,-21.956251,-1.7812501,-40.36875,sitting
699,sitting,0.16579847,0.29029694,9.515156,-7.9894776E-4,-5.326318E-4,-0.0,-22.237501,-2.2125,-40.818752,91.395,-1.0888013,-1.5785776,-7.9894776E-4,-5.326318E-4,-0.0,-0.021519452,0.0027230382,0.005291939,0.18482742,0.29116347,9.800585,-22.237501,-2.2125,-40.818752,sitting
721,sitting,0.18614918,0.28790274,9.519944,-7.9894776E-4,-5.326318E-4,-0.0,-22.237501,-2.3625002,-40.2,91.39558,-1.0838873,-1.5774328,-7.9894776E-4,-5.326318E-4,-0.0,-4.3839216E-4,0.0018674731,0.007437706,0.18499514,0.2911122,9.800583,-22.237501,-2.3625002,-40.2,sitting
738,sitting,0.21428105,0.29149407,9.512163,-6.6578976E-4,-5.326318E-4,-1.3315796E-4,-22.25625,-1.3312501,-40.068752,91.39501,-1.102517,-1.6058038,-6.6578976E-4,-5.326318E-4,-1.3315796E-4,0.01981093,0.016087264,5.350113E-4,0.18571553,0.29156917,9.800555,-22.25625,-1.3312501,-40.068752,sitting
754,sitting,0.21428105,0.29149407,9.512163,-3.9947388E-4,0.0011984216,9.321057E-4,-21.9375,-1.7812501,-40.8375,91.39265,-1.1392797,-1.6734148,-3.9947388E-4,0.0011984216,9.321057E-4,0.03979425,0.010148704,-0.003255844,0.1870206,0.2918312,9.800523,-21.9375,-1.7812501,-40.8375,sitting
772,sitting,0.19752164,0.2801216,9.507375,-7.9894776E-4,1.3315796E-4,0.0015978955,-21.956251,-1.7812501,-40.21875,91.39048,-1.152883,-1.6635553,-7.9894776E-4,1.3315796E-4,0.0015978955,-0.021190837,-0.0045763254,-0.0172472,0.1866507,0.291597,9.800536,-21.956251,-1.7812501,-40.21875,sitting
790,sitting,0.14664486,0.26874915,9.512163,-9.321057E-4,-9.321057E-4,0.0021305273,-21.65625,-1.5,-40.36875,91.38932,-1.1554147,-1.6602936,-9.321057E-4,-9.321057E-4,0.0021305273,-0.021190837,-0.0045763254,-0.0172472,0.18768522,0.29140788,9.800523,-21.65625,-1.5,-40.36875,sitting
810,sitting,0.20111294,0.28431144,9.527127,-1.3315796E-4,0.0013315795,-5.326318E-4,-21.806252,-1.5,-39.600002,91.38959,-1.0841969,-1.7119192,-1.3315796E-4,0.0013315795,-5.326318E-4,-0.0740773,-0.008299917,0.006515503,0.18500656,0.29109415,9.800583,-21.806252,-1.5,-39.600002,sitting
832,sitting,0.075417355,0.27952304,9.498995,-1.3315796E-4,0.0013315795,-5.326318E-4,-21.487501,-2.1000001,-39.45,91.394005,-1.0557774,-1.7441614,-1.3315796E-4,0.0013315795,-5.326318E-4,-0.11440304,0.005700767,-0.005604744,0.1818479,0.29116762,9.80064,-21.487501,-2.1000001,-39.45,sitting
853,sitting,0.22325931,0.27593175,9.504382,-0.0015978955,-0.003328949,-0.002796317,-21.35625,-1.9687501,-39.45,91.3951,-1.0603107,-1.7424574,-0.0015978955,-0.003328949,-0.002796317,0.0076282024,-0.010009557,9.5558167E-4,0.18253955,0.29070273,9.800641,-21.35625,-1.9687501,-39.45,sitting
870,sitting,0.30705637,0.28790274,9.515755,5.326318E-4,6.6578976E-4,0.0015978955,-21.825,-1.2,-40.537502,91.39274,-1.1053143,-1.7177722,5.326318E-4,6.6578976E-4,0.0015978955,0.120685175,0.0027582943,-0.0075235367,0.18763982,0.29119816,9.8005295,-21.825,-1.2,-40.537502,sitting
890,sitting,0.23942018,0.30166942,9.509769,-6.6578976E-4,0.0013315795,0.002663159,-21.825,-0.91875005,-39.768753,91.39518,-0.96217406,-1.729836,-6.6578976E-4,0.0013315795,0.002663159,-0.013859034,0.016756415,0.009235382,0.1870989,0.29148707,9.80053,-21.825,-0.91875005,-39.768753,sitting
910,sitting,0.089782566,0.2765303,9.51336,-5.326318E-4,0.0017310535,6.6578976E-4,-21.375,-1.5187501,-39.45,91.39619,-0.94818974,-1.7309182,-5.326318E-4,0.0017310535,6.6578976E-4,-0.084634714,9.4765425E-4,-0.0015106201,0.18285903,0.2908475,9.80063,-21.375,-1.5187501,-39.45,sitting
930,sitting,0.110731825,0.26515785,9.511565,-0.0010652636,1.3315796E-4,-7.9894776E-4,-22.237501,-2.0812502,-40.050003,91.400696,-0.8972457,-1.6957632,-0.0010652636,1.3315796E-4,-7.9894776E-4,-0.07917683,-0.01823759,0.00641346,0.1834947,0.29082873,9.800619,-22.237501,-2.0812502,-40.050003,sitting
950,sitting,0.2136825,0.28790274,9.51755,-5.326318E-4,-1.3315796E-4,-0.0014647375,-22.6875,-1.7625,-40.21875,91.400215,-0.9996832,-1.7030243,-5.326318E-4,-1.3315796E-4,-0.0014647375,0.013279825,0.0027282536,0.0021791458,0.1834947,0.29082873,9.800619,-22.6875,-1.7625,-40.21875,sitting
969,sitting,0.22744916,0.29448682,9.509171,-2.663159E-4,1.3315796E-4,-0.0,-21.956251,-1.8000001,-39.75,91.40011,-1.0038998,-1.7074966,-2.663159E-4,1.3315796E-4,-0.0,0.025780857,0.016138345,0.006802559,0.18541147,0.2911897,9.800572,-21.956251,-1.8000001,-39.75,sitting
