elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
285,stand_to_sit,0.08678981,0.24779987,9.497798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
301,stand_to_sit,0.077213004,0.25019407,9.508572,0.0,0.0,0.0,-15.95625,-6.24375,-41.90625,110.58205,-0.43292534,-1.7329862,0.0,0.0,0.0,-0.016928568,-0.00545758,0.0020942688,0.103974864,0.266424,9.802479,-15.95625,-6.24375,-41.90625,stand_to_sit
319,stand_to_sit,0.08559271,0.25857377,9.507375,0.0,0.0,0.0,-16.556252,-6.2250004,-41.90625,109.94462,-0.4304853,-1.7328745,0.0,0.0,0.0,-0.01331161,-0.0029426515,-0.001124382,0.09932463,0.26538634,9.802556,-16.556252,-6.2250004,-41.90625,stand_to_sit
335,stand_to_sit,0.109534726,0.26874915,9.500193,0.0,0.0,0.0,-16.556252,-6.2250004,-42.825,109.665825,-0.3113504,-1.7556696,0.0,0.0,0.0,0.00414484,0.007978737,-0.007364273,0.10343615,0.2691858,9.80241,-16.556252,-6.2250004,-42.825,stand_to_sit
355,stand_to_sit,0.11671733,0.2741361,9.501988,0.0,0.0,0.0,-16.087502,-6.9750004,-42.825,109.12533,-1.0349125,-1.4652929,0.0,0.0,0.0,0.011863813,0.005627215,6.4086914E-4,0.10343615,0.2691858,9.80241,-16.087502,-6.9750004,-42.825,stand_to_sit
375,stand_to_sit,0.108337626,0.26156655,9.504981,0.0,0.0,0.0,-15.918751,-7.4437504,-41.5875,109.78094,-0.3692813,-1.7292606,0.0,0.0,0.0,0.011863813,0.005627215,6.4086914E-4,0.10369726,0.26912102,9.802408,-15.918751,-7.4437504,-41.5875,stand_to_sit
396,stand_to_sit,0.08140286,0.25079262,9.5013895,0.0,0.0,0.0,-15.637501,-7.1625004,-41.11875,109.78858,-0.29551178,-1.7604288,0.0,0.0,0.0,-0.024261527,-0.004805863,-7.6675415E-4,0.10045359,0.26859987,9.802457,-15.637501,-7.1625004,-41.11875,stand_to_sit
415,stand_to_sit,0.09816227,0.2621651,9.500193,0.0,0.0,0.0,-14.887501,-7.3125005,-41.737503,109.797226,-0.29645294,-1.76113,0.0,0.0,0.0,-0.0046335757,7.621646E-4,3.8814545E-4,0.09996398,0.26872063,9.802459,-14.887501,-7.3125005,-41.737503,stand_to_sit
435,stand_to_sit,0.11611878,0.2621651,9.504981,0.0,0.0,0.0,-15.0375,-7.3125005,-41.737503,110.871544,-0.42658627,-1.7338744,0.0,0.0,0.0,0.019944943,1.733303E-4,-0.0015516281,0.10208676,0.26871443,9.802437,-15.0375,-7.3125005,-41.737503,stand_to_sit
456,stand_to_sit,0.10115502,0.24660277,9.504382,0.0,0.0,0.0,-15.618751,-7.4437504,-41.8875,110.80617,-0.4243898,-1.6977698,0.0,0.0,0.0,0.0062531233,-0.0067563057,2.2506714E-4,0.10262678,0.2681446,9.802446,-15.618751,-7.4437504,-41.8875,stand_to_sit
