elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
227,stand_to_sit,-1.0480564,-10.003195,-0.2105684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand_to_sit
244,stand_to_sit,-0.90448695,-9.945767,-0.57487565,-0.08721846,0.16072164,-0.04167844,-14.871799,29.6948,-15.6404,0.0,0.0,0.0,-0.08721846,0.16072164,-0.04167844,0.0,0.0,0.0,-0.9059118,-9.753283,-0.4724269,-14.871799,29.6948,-15.6404,stand_to_sit
260,stand_to_sit,-0.8327023,-10.00798,-1.0869397,-0.08934899,0.17883113,-0.060853187,-14.310599,30.292599,-15.615999,16.688316,117.54173,84.019875,-0.08934899,0.17883113,-0.060853187,0.0,0.0,0.0,-0.9059118,-9.753283,-0.4724269,-14.310599,30.292599,-15.615999,stand_to_sit
281,stand_to_sit,-0.8662018,-10.094122,-1.3070793,-0.11598058,0.3949465,-0.16631429,-15.945399,29.2922,-16.4334,0.8936105,135.52696,82.940025,-0.11598058,0.3949465,-0.16631429,0.010955155,-0.07210541,-0.36056876,-0.84441537,-9.732296,-0.86009246,-15.945399,29.2922,-16.4334,stand_to_sit
301,stand_to_sit,-1.052842,-10.176077,-1.1874382,-0.1564606,0.51638657,-0.19188061,-14.932799,29.706999,-16.323599,-2.1261065,139.2332,82.44596,-0.1564606,0.51638657,-0.19188061,-0.2856546,-0.16668892,0.09546113,-0.84182096,-9.721541,-0.97640306,-14.932799,29.706999,-16.323599,stand_to_sit
322,stand_to_sit,-1.3304094,-10.305289,-0.6466603,-0.21385168,0.7262435,-0.22383852,-14.762,29.511799,-16.5066,-1.5616707,138.74208,82.3093,-0.21385168,0.7262435,-0.22383852,-0.2856546,-0.16668892,0.09546113,-0.8985822,-9.719443,-0.9462308,-14.762,29.511799,-16.5066,stand_to_sit
342,stand_to_sit,-1.5074782,-10.405787,-0.45044887,-0.19481009,0.8402267,-0.26431856,-14.932799,30.3536,-16.4944,3.0681694,134.32849,82.40544,-0.19481009,0.8402267,-0.26431856,-0.4410625,-0.21467972,0.41301197,-0.8985822,-9.719443,-0.9462308,-14.932799,30.3536,-16.4944,stand_to_sit
363,stand_to_sit,-1.5122639,-10.439287,-0.8428718,-0.12876374,0.96259886,-0.318647,-14.6522,29.828999,-15.738,3.655197,134.10503,82.3435,-0.12876374,0.96259886,-0.318647,-0.5445372,-0.24189854,0.22200722,-0.93820584,-9.71922,-0.9093446,-14.6522,29.828999,-15.738,stand_to_sit
382,stand_to_sit,-1.282553,-10.367502,-1.7670995,-0.13089427,1.04782,-0.32823434,-14.871799,29.401999,-16.6164,1.6813272,136.81828,82.10626,-0.13089427,1.04782,-0.32823434,-0.42662102,-0.19593334,-0.34939384,-0.87260664,-9.703457,-1.1188658,-14.871799,29.401999,-16.6164,stand_to_sit
403,stand_to_sit,-1.0815558,-10.214361,-2.4759731,-0.239418,1.3098748,-0.36977965,-14.5912,29.2312,-17.1166,-2.3253767,142.04921,81.68075,-0.239418,1.3098748,-0.36977965,-0.23404247,-0.07192135,-0.9301219,-0.8116352,-9.68828,-1.2840774,-14.5912,29.2312,-17.1166,stand_to_sit
423,stand_to_sit,-1.119841,-10.065409,-2.260021,-0.4364918,1.5398386,-0.3122554,-14.542399,29.548399,-17.0312,-9.528195,152.22911,80.5134,-0.4364918,1.5398386,-0.3122554,-0.3243013,0.14421082,-0.7609316,-0.75309503,-9.672537,-1.430132,-14.542399,29.548399,-17.0312,stand_to_sit
444,stand_to_sit,-1.0480564,-9.950553,-1.8867407,-0.4567318,1.2917653,-0.24194801,-14.1764,30.1218,-17.0312,-11.694184,155.60956,80.05659,-0.4567318,1.2917653,-0.24194801,-0.3285302,0.19277668,-0.32100844,-0.6992811,-9.659342,-1.5422404,-14.1764,30.1218,-17.0312,stand_to_sit
463,stand_to_sit,-0.89013004,-9.601201,-1.8293129,-0.47484127,1.1053442,-0.22064273,-14.7498,29.4264,-17.2752,-13.428668,158.27255,79.64828,-0.47484127,1.1053442,-0.22064273,-0.11519259,0.6802387,-0.06191528,-0.6523368,-9.647029,-1.6369674,-14.7498,29.4264,-17.2752,stand_to_sit
484,stand_to_sit,-0.35832518,-9.18485,-2.0542383,-0.534496,0.7528751,-0.14181322,-14.1764,29.5728,-16.531,-15.129373,160.73991,79.199974,-0.534496,0.7528751,-0.14181322,0.32133088,0.86365986,-0.1779505,-0.6061404,-9.632946,-1.7347397,-14.1764,29.5728,-16.531,stand_to_sit
504,stand_to_sit,0.2638087,-9.074182,-2.2935205,-0.64315295,0.64208764,-0.07044056,-14.017799,30.024199,-16.6652,-19.349207,166.40848,78.079,-0.64315295,0.64208764,-0.07044056,0.7248949,0.87122345,-0.24326944,-0.47603282,-9.595153,-1.9689608,-14.017799,30.024199,-16.6652,stand_to_sit
525,stand_to_sit,0.421735,-9.069396,-1.5613167,-0.6591319,0.49614653,-0.020373167,-13.883599,30.1584,-17.104399,-21.249506,168.97298,77.5939,-0.6591319,0.49614653,-0.020373167,0.797341,0.8102474,0.2925954,-0.40298206,-9.577659,-2.0679572,-13.883599,30.1584,-17.104399,stand_to_sit
545,stand_to_sit,0.7046863,-9.41456,-1.0630114,-0.61652136,0.35140383,0.0126500055,-14.2984,30.2072,-16.3846,-22.77286,170.86401,77.29789,-0.61652136,0.35140383,0.0126500055,0.79045534,0.67172146,0.991032,-0.34237453,-9.566647,-2.1289546,-14.2984,30.2072,-16.3846,stand_to_sit
564,stand_to_sit,0.82911307,-9.577272,-1.1730813,-0.3448791,0.10319742,0.05206476,-13.359,30.2804,-15.689199,-24.066484,172.40382,77.12232,-0.3448791,0.10319742,0.05206476,0.9447953,0.39892483,1.1653712,-0.2889159,-9.559996,-2.1664302,-13.359,30.2804,-15.689199,stand_to_sit
585,stand_to_sit,0.22073789,-9.227921,-1.6283158,-0.24687485,0.109588996,0.04034686,-13.4688,30.6098,-16.518799,-26.202724,174.98012,76.99727,-0.24687485,0.109588996,0.04034686,1.028012,0.14200687,0.75349784,-0.19306967,-9.555202,-2.1980095,-13.4688,30.6098,-16.518799,stand_to_sit
604,stand_to_sit,-0.3487539,-8.944969,-1.5517455,-0.21811274,-0.019307904,0.05206476,-14.1764,30.719599,-15.189,-26.442598,175.16649,76.94266,-0.21811274,-0.019307904,0.05206476,0.21235262,0.5722275,0.6404785,-0.18668592,-9.553094,-2.207698,-14.1764,30.719599,-15.189,stand_to_sit
625,stand_to_sit,-1.0289137,-8.705687,-1.5373886,-0.42583913,-0.5241097,0.25752747,-14.2008,30.6098,-15.066999,-25.690142,173.90733,76.77803,-0.42583913,-0.5241097,0.25752747,-0.4909027,0.880393,0.76121855,-0.23806664,-9.546688,-2.230347,-14.2008,30.6098,-15.066999,stand_to_sit
644,stand_to_sit,-1.416551,-8.748757,-1.814956,-0.5611276,-1.0757831,0.41944757,-14.0543995,31.146599,-14.542399,-24.165236,171.4561,76.40156,-0.5611276,-1.0757831,0.41944757,-0.7744981,0.86926746,0.712041,-0.34255043,-9.531745,-2.2801077,-14.0543995,31.146599,-14.542399,stand_to_sit
664,stand_to_sit,-1.4644074,-8.873184,-2.4568307,-0.48762444,-1.4005554,0.50253814,-13.9934,31.219799,-13.200399,-20.47037,165.01425,75.24058,-0.48762444,-1.4005554,0.50253814,-0.82109195,0.6484909,0.07172084,-0.64602166,-9.48307,-2.4133854,-13.9934,31.219799,-13.200399,stand_to_sit
684,stand_to_sit,-1.4787644,-8.892327,-2.7583263,-0.40240335,-1.4666017,0.49934232,-13.4078,31.4882,-12.7978,-18.887638,161.94818,74.61521,-0.40240335,-1.4666017,0.49934232,-0.6696377,0.54026985,-0.1966908,-0.80620867,-9.455236,-2.4736414,-13.4078,31.4882,-12.7978,stand_to_sit
705,stand_to_sit,-1.3112668,-9.026325,-2.8348966,-0.2926812,-1.3174648,0.44607913,-14.4326,31.2564,-11.9316,-17.57419,159.29631,74.05158,-0.2926812,-1.3174648,0.44607913,-0.43597233,0.49523544,-0.24233341,-0.9526329,-9.429187,-2.5205789,-14.4326,31.2564,-11.9316,stand_to_sit
725,stand_to_sit,-1.0576276,-9.18485,-3.00718,-0.19481009,-1.0076063,0.38748965,-13.8714,31.2076,-11.7242,-16.56842,157.1355,73.584236,-0.19481009,-1.0076063,0.38748965,-0.19915605,0.29308414,-0.32957506,-1.0768409,-9.406896,-2.5536523,-13.8714,31.2076,-11.7242,stand_to_sit
744,stand_to_sit,-0.6843473,-9.227921,-2.8109684,-0.1564606,-0.5677855,0.3065296,-13.688399,31.854198,-11.5412,-15.826881,155.55188,73.20247,-0.1564606,-0.5677855,0.3065296,0.46818948,0.13195515,-0.28123307,-1.2342582,-9.3743105,-2.6017847,-13.688399,31.854198,-11.5412,stand_to_sit
767,stand_to_sit,-0.48753762,-9.37149,-2.4568307,-0.088283725,-0.27803382,0.21491694,-14.0788,31.073399,-11.7486,-15.160464,154.17216,72.78966,-0.088283725,-0.27803382,0.21491694,0.77613854,-0.038805008,0.054333687,-1.2756981,-9.36698,-2.6081972,-14.0788,31.073399,-11.7486,stand_to_sit
784,stand_to_sit,-0.27218357,-9.180064,-2.1308086,0.008655267,-0.20346536,0.15419692,-13.3468,31.6712,-11.3582,-15.0612755,153.93623,72.77824,0.008655267,-0.20346536,0.15419692,0.9112325,0.005256653,0.27329898,-1.2756981,-9.36698,-2.6081972,-13.3468,31.6712,-11.3582,stand_to_sit
805,stand_to_sit,-0.5407779,-8.65783,-2.0685952,0.07896267,-0.27057695,0.11171953,-13.8592,31.4028,-11.1874,-14.787301,153.31976,72.97477,0.07896267,-0.27057695,0.11171953,0.7534559,0.6196375,0.47850323,-1.2892525,-9.376883,-2.5655978,-13.8592,31.4028,-11.1874,stand_to_sit
824,stand_to_sit,-0.37268212,-8.241479,-2.1547368,0.08322372,-0.35366753,0.08082688,-13.4688,31.4394,-11.2484,-14.706427,152.98425,73.072975,0.08322372,-0.35366753,0.08082688,0.84151804,0.950799,0.36364365,-1.2969519,-9.38179,-2.5436819,-13.4688,31.4394,-11.2484,stand_to_sit
844,stand_to_sit,-0.24825534,-8.04467,-2.2408783,0.07896267,-0.40586546,0.02223738,-13.5176,31.6712,-11.834,-15.451144,152.82457,73.184204,0.07896267,-0.40586546,0.02223738,1.0508248,1.1175985,0.34412575,-1.295714,-9.387317,-2.5238485,-13.5176,31.6712,-11.834,stand_to_sit
864,stand_to_sit,-0.12861422,-8.485547,-2.1499512,0.11092058,-0.3398191,-0.038482647,-13.395599,31.146599,-11.8706,-16.291164,152.79808,73.307655,0.11092058,-0.3398191,-0.038482647,1.0662881,1.0438118,0.21017551,-1.2876318,-9.393407,-2.5052536,-13.395599,31.146599,-11.8706,stand_to_sit
885,stand_to_sit,-0.5162515,-8.729615,-1.867598,0.14607428,-0.20879167,-0.10239847,-13.8714,31.1954,-11.6144,-18.107738,153.05452,73.769165,0.14607428,-0.20879167,-0.10239847,0.7377908,0.48892593,0.4925202,-1.242079,-9.415791,-2.4434626,-13.8714,31.1954,-11.6144,stand_to_sit
905,stand_to_sit,-0.8470592,-9.5868435,-2.7439694,0.1279648,-0.013981585,-0.09068057,-13.981199,31.2808,-11.0776,-18.940405,153.29025,73.96637,0.1279648,-0.013981585,-0.09068057,0.4702645,0.01688385,0.07484126,-1.2174426,-9.425168,-2.41959,-13.981199,31.2808,-11.0776,stand_to_sit
924,stand_to_sit,-1.2346965,-12.393026,-6.363712,-0.12663321,0.22250694,-0.08109319,-13.7128,31.0978,-11.138599,-19.96062,154.01105,73.86185,-0.12663321,0.22250694,-0.08109319,-0.014912486,-1.5174332,-1.8394942,-1.1944407,-9.420212,-2.4501648,-13.7128,31.0978,-11.138599,stand_to_sit
