elapsedMillis,actionKeyword,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerX,magnetometerY,magnetometerZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,label
170,stand_to_sit,0.0,0.0,0.0,0.0,0.0,0.0,23.643751,-30.7875,-14.700001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.643751,-30.7875,-14.700001,stand_to_sit
190,stand_to_sit,-0.246,9.744,-1.0339501,0.0,-0.0306625,0.0034375,23.04375,-30.112501,-21.112501,123.44762,166.50456,-83.83433,0.0,-0.0306625,0.0034375,0.0,0.011,-0.002,-0.245,9.749,-1.024,23.04375,-30.112501,-21.112501,stand_to_sit
211,stand_to_sit,-0.21000001,9.75105,-1.041,0.001375,-0.0386375,0.0042625,23.04375,-30.112501,-21.0,123.49103,166.5055,-83.8347,0.001375,-0.0386375,0.0042625,0.0,0.011,0.011,-0.245,9.749,-1.024,23.04375,-30.112501,-21.0,stand_to_sit
231,stand_to_sit,-0.21000001,9.75105,-1.041,0.0037125,-0.028875,0.00935,22.800001,-29.94375,-20.75625,123.57954,166.55644,-83.83283,0.0037125,-0.028875,0.00935,-0.04,0.011,0.01,-0.244,9.749,-1.024,22.800001,-29.94375,-20.75625,stand_to_sit
251,stand_to_sit,0.012,9.739051,-1.041,0.004675,-0.0127875,0.016224999,23.04375,-29.812502,-20.75625,123.74293,166.69977,-83.83159,0.004675,-0.0127875,0.016224999,-0.051,0.011,0.009,-0.242,9.749,-1.025,23.04375,-29.812502,-20.75625,stand_to_sit
271,stand_to_sit,0.012,9.739051,-1.04595,0.004675,0.0154,0.0455125,23.400002,-30.187502,-20.5125,124.14878,167.11232,-83.83604,0.004675,0.0154,0.0455125,-0.234,0.011,0.008,-0.234,9.749,-1.026,23.400002,-30.187502,-20.5125,stand_to_sit
290,stand_to_sit,0.012,9.739051,-1.06005,0.004125,0.0529375,0.070675,23.400002,-29.94375,-20.34375,124.84008,167.84918,-83.847694,0.004125,0.0529375,0.070675,-0.221,0.011,0.021,-0.221,9.75,-1.027,23.400002,-29.94375,-20.34375,stand_to_sit
312,stand_to_sit,0.01905,9.73005,-1.06005,0.004125,0.095425,0.0928125,23.456251,-30.000002,-20.5125,125.760216,168.86061,-83.86375,0.004125,0.095425,0.0928125,-0.216,0.025,0.02,-0.202,9.75,-1.028,23.456251,-30.000002,-20.5125,stand_to_sit
331,stand_to_sit,0.021000002,9.72,-1.06005,0.004675,0.1463,0.110275,23.643751,-30.000002,-20.2875,126.88274,170.12808,-83.87964,0.004675,0.1463,0.110275,-0.192,0.025,0.018,-0.179,9.75,-1.029,23.643751,-30.000002,-20.2875,stand_to_sit
351,stand_to_sit,0.024,9.715051,-1.06005,0.0059125,0.1947,0.117425,22.987501,-29.587502,-20.1,128.11508,171.56235,-83.895035,0.0059125,0.1947,0.117425,-0.166,0.039,0.017,-0.153,9.751,-1.031,22.987501,-29.587502,-20.1,stand_to_sit
371,stand_to_sit,0.024,9.715051,-1.06305,0.0077,0.2171125,0.122925,23.15625,-30.000002,-20.212502,129.41873,173.1007,-83.90488,0.0077,0.2171125,0.122925,-0.138,0.039,0.015,-0.125,9.751,-1.033,23.15625,-30.000002,-20.212502,stand_to_sit
391,stand_to_sit,0.025950002,9.3490505,-1.06305,0.0108624995,0.2072125,0.102437496,23.456251,-30.187502,-19.800001,130.58536,174.49936,-83.90773,0.0108624995,0.2072125,0.102437496,-0.113,0.039,0.026,-0.099,9.751,-1.035,23.456251,-30.187502,-19.800001,stand_to_sit
411,stand_to_sit,0.033,9.327001,-1.06305,0.0171875,0.1903,0.08305,23.1,-30.487501,-20.212502,131.53601,175.66792,-83.89886,0.0171875,0.1903,0.08305,-0.105,0.421,0.023,-0.078,9.751,-1.039,23.1,-30.487501,-20.212502,stand_to_sit
431,stand_to_sit,0.03795,9.32295,-1.06305,0.0248875,0.159775,0.0691625,23.587502,-30.656252,-19.85625,132.32832,176.6463,-83.87778,0.0248875,0.159775,0.0691625,-0.088,0.434,0.018,-0.061,9.75,-1.043,23.587502,-30.656252,-19.85625,stand_to_sit
451,stand_to_sit,0.036000002,9.32295,-1.0680001,0.0308,0.1381875,0.0561,23.400002,-30.112501,-19.987501,132.97731,177.45656,-83.84697,0.0308,0.1381875,0.0561,-0.073,0.433,0.012,-0.046,9.75,-1.049,23.400002,-30.112501,-19.987501,stand_to_sit
471,stand_to_sit,0.028050002,9.32295,-1.0680001,0.0341,0.1087625,0.0466125,23.212502,-29.643751,-20.34375,133.50899,178.11913,-83.81128,0.0341,0.1087625,0.0466125,-0.061,0.433,0.005,-0.034,9.749,-1.056,23.212502,-29.643751,-20.34375,stand_to_sit
491,stand_to_sit,0.025950002,9.318001,-1.056,0.0363,0.0812625,0.0396,23.643751,-29.212502,-20.15625,133.95668,178.66347,-83.772285,0.0363,0.0812625,0.0396,-0.038,0.432,-0.001,-0.024,9.748,-1.063,23.643751,-29.212502,-20.15625,stand_to_sit
511,stand_to_sit,0.025950002,9.30795,-1.0390501,0.03795,0.0633875,0.0334125,23.75625,-28.9125,-20.587502,134.32887,179.11156,-83.729515,0.03795,0.0633875,0.0334125,-0.03,0.445,-0.022,-0.016,9.748,-1.07,23.75625,-28.9125,-20.587502,stand_to_sit
532,stand_to_sit,0.012,9.31305,-1.0339501,0.0323125,0.0430375,0.02915,24.0,-28.556252,-21.056252,134.6463,179.48238,-83.69155,0.0323125,0.0430375,0.02915,-0.023,0.444,-0.055,-0.009,9.747,-1.077,24.0,-28.556252,-21.056252,stand_to_sit
550,stand_to_sit,-0.022950001,9.31995,-1.0339501,0.024475,0.032175,0.0235125,24.187502,-28.312502,-21.65625,134.90929,179.78156,-83.66172,0.024475,0.032175,0.0235125,0.009,0.43,-0.061,-0.004,9.746,-1.082,24.187502,-28.312502,-21.65625,stand_to_sit
571,stand_to_sit,-0.028050002,9.379951,-0.40695003,0.0127875,0.023375,0.0188375,24.0,-27.956251,-22.44375,135.11336,-179.9845,-83.64306,0.0127875,0.023375,0.0188375,0.013,0.402,-0.064,0.0,9.746,-1.085,24.0,-27.956251,-22.44375,stand_to_sit
591,stand_to_sit,-0.028050002,9.379951,-0.36600003,-0.0726,0.015675,0.0127875,23.94375,-27.4125,-23.2875,135.26447,-179.81516,-83.69588,-0.0726,0.015675,0.0127875,0.03,0.376,-0.681,0.003,9.747,-1.076,23.94375,-27.4125,-23.2875,stand_to_sit
611,stand_to_sit,-0.028050002,9.379951,-0.012,-0.2124375,0.0180125,0.0020625,24.0,-26.8875,-23.75625,135.32538,-179.7362,-83.895935,-0.2124375,0.0180125,0.0020625,0.032,0.38,-1.001,0.004,9.751,-1.042,24.0,-26.8875,-23.75625,stand_to_sit
630,stand_to_sit,-0.29595003,9.904051,-0.012,-0.352,0.00165,-0.005775,24.0,-26.1,-24.112501,135.29503,-179.75856,-84.259766,-0.352,0.00165,-0.005775,0.031,-0.103,-0.98,0.004,9.757,-0.98,24.0,-26.1,-24.112501,stand_to_sit
650,stand_to_sit,-0.291,10.134001,1.09395,-0.4613125,-0.0182875,-0.020075,24.187502,-25.743752,-24.187502,135.11507,-179.95395,-84.753716,-0.4613125,-0.0182875,-0.020075,0.286,-0.354,-0.896,0.0,9.765,-0.896,24.187502,-25.743752,-24.187502,stand_to_sit
670,stand_to_sit,-0.27195,10.134001,1.51005,-0.572275,0.011825,-0.0323125,24.487501,-25.3875,-24.6,134.90549,179.84343,-85.0782,-0.572275,0.011825,-0.0323125,0.283,-0.363,-1.93,-0.002,9.77,-0.841,24.487501,-25.3875,-24.6,stand_to_sit
690,stand_to_sit,-0.25995,10.12695,1.5480001,-0.819775,0.094875,-0.0589875,24.712502,-25.25625,-25.25625,134.04689,179.06871,-85.93307,-0.819775,0.094875,-0.0589875,0.247,-0.351,-2.193,-0.011,9.781,-0.695,24.712502,-25.25625,-25.25625,stand_to_sit
710,stand_to_sit,-0.25995,10.134001,1.5480001,-1.024375,0.169675,-0.088825,24.487501,-25.25625,-25.800001,131.86232,177.06502,-87.04912,-1.024375,0.169675,-0.088825,0.232,-0.326,-2.042,-0.025,9.793,-0.503,24.487501,-25.25625,-25.800001,stand_to_sit
728,stand_to_sit,-0.25995,10.13895,1.5480001,-1.1697125,0.2409,-0.106837496,24.843752,-25.087502,-25.9125,117.246765,162.83583,-88.93485,-1.1697125,0.2409,-0.106837496,0.205,-0.328,-1.711,-0.053,9.804,-0.172,24.843752,-25.087502,-25.9125,stand_to_sit
750,stand_to_sit,-0.25305,10.12905,1.55295,-1.1820875,0.253,-0.11165,24.843752,-24.712502,-26.156252,86.03492,131.76886,-89.487175,-1.1820875,0.253,-0.11165,0.194,-0.327,-1.596,-0.063,9.806,-0.057,24.843752,-24.712502,-26.156252,stand_to_sit
768,stand_to_sit,-0.25305,10.110001,1.55295,-1.19735,0.2833875,-0.114125,24.900002,-24.487501,-26.156252,-19.826834,26.219343,-88.84479,-1.19735,0.2833875,-0.114125,0.158,-0.315,-1.376,-0.086,9.804,0.176,24.900002,-24.487501,-26.156252,stand_to_sit
788,stand_to_sit,-0.27,10.07205,1.5510001,-1.1424875,0.2893,-0.100237496,25.0125,-24.487501,-26.212502,-31.391665,15.003942,-87.53613,-1.1424875,0.2893,-0.100237496,0.136,-0.308,-1.145,-0.109,9.797,0.406,25.0125,-24.487501,-26.212502,stand_to_sit
808,stand_to_sit,-0.27705002,10.07205,1.5169501,-0.9796875,0.2272875,-0.0897875,24.656252,-24.4125,-26.212502,-34.65862,12.026713,-86.35836,-0.9796875,0.2272875,-0.0897875,0.129,-0.278,-0.93,-0.129,9.786,0.608,24.656252,-24.4125,-26.212502,stand_to_sit
827,stand_to_sit,-0.27,9.391951,1.48395,-0.803825,0.1524875,-0.0845625,24.7875,-24.487501,-26.1,-36.001152,10.883081,-85.3839,-0.803825,0.1524875,-0.0845625,0.123,-0.29,-0.737,-0.148,9.774,0.774,24.7875,-24.487501,-26.1,stand_to_sit
847,stand_to_sit,-0.26295,9.373051,1.48395,-0.64955,0.10395,-0.0757625,24.7875,-24.112501,-26.2875,-36.65377,10.364933,-84.59556,-0.64955,0.10395,-0.0757625,0.092,0.378,-0.562,-0.166,9.763,0.908,24.7875,-24.112501,-26.2875,stand_to_sit
867,stand_to_sit,-0.26295,9.354,1.5010501,-0.53625,0.07315,-0.06655,25.2,-23.643751,-26.2875,-37.020218,10.09177,-83.951324,-0.53625,0.07315,-0.06655,0.077,0.381,-0.453,-0.181,9.752,1.017,25.2,-23.643751,-26.2875,stand_to_sit
888,stand_to_sit,-0.27,9.354,1.5010501,-0.45815,0.0642125,-0.058849998,25.44375,-23.643751,-26.587502,-37.258392,9.930263,-83.40551,-0.45815,0.0642125,-0.058849998,0.064,0.398,-0.388,-0.194,9.741,1.109,25.44375,-23.643751,-26.587502,stand_to_sit
906,stand_to_sit,-0.279,9.354,1.5010501,-0.3887125,0.058575,-0.051425,25.612501,-23.587502,-26.587502,-37.42275,9.83516,-82.93934,-0.3887125,0.058575,-0.051425,0.052,0.388,-0.31,-0.205,9.732,1.187,25.612501,-23.587502,-26.587502,stand_to_sit
927,stand_to_sit,-0.294,9.13305,1.5460501,-0.326425,0.0573375,-0.0438625,25.25625,-23.75625,-26.643751,-37.54046,9.78341,-82.54741,-0.326425,0.0573375,-0.0438625,0.056,0.38,-0.244,-0.216,9.723,1.253,25.25625,-23.75625,-26.643751,stand_to_sit
946,stand_to_sit,-0.294,9.13305,1.7760001,-0.281325,0.0638,-0.0375375,25.3875,-23.456251,-26.587502,-37.635006,9.759926,-82.21255,-0.281325,0.0638,-0.0375375,0.06,0.59,-0.229,-0.225,9.716,1.309,25.3875,-23.456251,-26.587502,stand_to_sit
966,stand_to_sit,-0.294,9.12195,1.7760001,-0.245575,0.064625,-0.0323125,25.500002,-22.987501,-27.056252,-37.717808,9.752459,-81.91935,-0.245575,0.064625,-0.0323125,0.052,0.583,-0.412,-0.233,9.709,1.358,25.500002,-22.987501,-27.056252,stand_to_sit
986,stand_to_sit,-0.294,9.12195,1.7760001,-0.212575,0.0518375,-0.0298375,25.500002,-22.556252,-27.300001,-37.77722,9.756928,-81.66619,-0.212575,0.0518375,-0.0298375,0.045,0.591,-0.369,-0.24,9.703,1.4,25.500002,-22.556252,-27.300001,stand_to_sit
1006,stand_to_sit,-0.30105,9.10005,1.812,-0.225775,0.0466125,-0.0275,25.987501,-21.7875,-27.4125,-37.849453,9.738937,-81.413666,-0.225775,0.0466125,-0.0275,0.038,0.584,-0.327,-0.247,9.696,1.442,25.987501,-21.7875,-27.4125,stand_to_sit
1026,stand_to_sit,-0.30105,8.748,2.0989501,-0.26565,0.0501875,-0.0251625,25.85625,-21.6,-28.087502,-37.984245,9.66341,-81.12128,-0.26565,0.0501875,-0.0251625,0.045,0.59,-0.319,-0.254,9.689,1.492,25.85625,-21.6,-28.087502,stand_to_sit
1045,stand_to_sit,-0.30105,8.712001,2.11095,-0.31185,0.0429,-0.0268125,25.85625,-21.0,-28.143751,-38.15372,9.545651,-80.781136,-0.31185,0.0429,-0.0268125,0.039,0.935,-0.548,-0.26,9.679,1.549,25.85625,-21.0,-28.143751,stand_to_sit
1061,stand_to_sit,-0.31095,8.712001,2.11095,-0.3608,0.0363,-0.0273625,26.156252,-20.2875,-28.556252,-38.368607,9.378135,-80.381966,-0.3608,0.0363,-0.0273625,0.032,0.965,-0.481,-0.266,9.668,1.616,26.156252,-20.2875,-28.556252,stand_to_sit
1080,stand_to_sit,-0.33195,8.724,2.11095,-0.38541248,0.0198,-0.0297,26.343752,-19.9125,-28.9125,-38.59106,9.187126,-79.94465,-0.38541248,0.0198,-0.0297,0.026,0.952,-0.407,-0.273,9.656,1.69,26.343752,-19.9125,-28.9125,stand_to_sit
1100,stand_to_sit,-0.57600003,8.724,2.46495,-0.3834875,-0.003575,-0.0345125,26.7,-19.143751,-29.456251,-38.770878,9.012886,-79.50427,-0.3834875,-0.003575,-0.0345125,0.06,0.925,-0.333,-0.279,9.642,1.764,26.7,-19.143751,-29.456251,stand_to_sit
1121,stand_to_sit,-0.57600003,8.712001,2.7169502,-0.42515,-4.125E-4,-0.0460625,26.8875,-18.900002,-29.8875,-38.90733,8.875691,-79.03141,-0.42515,-4.125E-4,-0.0460625,0.284,0.924,-0.649,-0.287,9.627,1.843,26.8875,-18.900002,-29.8875,stand_to_sit
1140,stand_to_sit,-0.57600003,8.470051,2.7460501,-0.5099875,0.0174625,-0.071225,26.75625,-18.487501,-30.112501,-38.97605,8.822837,-78.470085,-0.5099875,0.0174625,-0.071225,0.271,1.136,-0.8,-0.3,9.608,1.936,26.75625,-18.487501,-30.112501,stand_to_sit
1161,stand_to_sit,-0.58605003,8.470051,2.7460501,-0.5735125,0.0177375,-0.111375,26.812502,-17.94375,-30.656252,-38.91033,8.911917,-77.81718,-0.5735125,0.0177375,-0.111375,0.265,1.127,-0.693,-0.32,9.585,2.044,26.812502,-17.94375,-30.656252,stand_to_sit
1178,stand_to_sit,-0.59295005,8.470051,2.7460501,-0.58547497,0.0039875,-0.136675,26.75625,-17.94375,-30.900002,-38.793648,9.028379,-77.475105,-0.58547497,0.0039875,-0.136675,0.251,1.115,-0.637,-0.333,9.573,2.1,26.75625,-17.94375,-30.900002,stand_to_sit
1194,stand_to_sit,-0.59505004,8.467951,3.426,-0.5946875,-0.029975,-0.1837,26.643751,-17.212502,-31.3875,-38.406303,9.381693,-76.77376,-0.5946875,-0.029975,-0.1837,0.219,1.088,-0.524,-0.365,9.546,2.213,26.643751,-17.212502,-31.3875,stand_to_sit
1211,stand_to_sit,-0.59505004,8.467951,3.6510003,-0.68475,-0.0262625,-0.2035,26.8875,-17.1,-31.85625,-37.978485,9.76379,-75.99219,-0.68475,-0.0262625,-0.2035,0.183,1.056,-1.079,-0.402,9.515,2.339,26.8875,-17.1,-31.85625,stand_to_sit
1231,stand_to_sit,-0.59295005,8.467951,4.038,-0.8017625,0.0020625,-0.1934625,26.812502,-16.5,-32.5875,-37.69667,10.033522,-75.07719,-0.8017625,0.0020625,-0.1934625,0.145,1.017,-1.19,-0.439,9.475,2.486,26.812502,-16.5,-32.5875,stand_to_sit
1250,stand_to_sit,-0.59295005,8.487,4.038,-0.908325,0.0273625,-0.1599125,26.8875,-15.95625,-32.7,-37.650146,10.105037,-74.047844,-0.908325,0.0273625,-0.1599125,0.112,0.957,-1.378,-0.472,9.429,2.653,26.8875,-15.95625,-32.7,stand_to_sit
1271,stand_to_sit,-0.59505004,8.500951,4.038,-0.9669,0.0394625,-0.12485,27.056252,-14.94375,-32.8875,-37.791935,10.011478,-72.94654,-0.9669,0.0394625,-0.12485,0.085,0.876,-1.199,-0.499,9.375,2.832,27.056252,-14.94375,-32.8875,stand_to_sit
1291,stand_to_sit,-0.59805006,8.50395,4.5079503,-1.0286375,0.0633875,-0.086075,26.812502,-14.1,-32.8875,-38.08486,9.794114,-71.79243,-1.0286375,0.0633875,-0.086075,0.064,0.816,-1.461,-0.521,9.315,3.019,26.812502,-14.1,-32.8875,stand_to_sit
1310,stand_to_sit,-0.59805006,8.50395,4.73505,-1.117325,0.1057375,-0.041249998,26.8875,-13.44375,-32.8875,-38.550545,9.461855,-70.549065,-1.117325,0.1057375,-0.041249998,0.048,0.747,-1.3,-0.536,9.246,3.221,26.8875,-13.44375,-32.8875,stand_to_sit
1330,stand_to_sit,-0.60300004,8.51295,4.7569504,-1.1209,0.115637496,-0.01375,27.187502,-12.95625,-33.112503,-39.085922,9.0888605,-69.280716,-1.1209,0.115637496,-0.01375,0.037,0.673,-1.327,-0.548,9.172,3.425,27.187502,-12.95625,-33.112503,stand_to_sit
1351,stand_to_sit,-0.60705,8.51805,4.7569504,-1.0753875,0.10395,-8.25E-4,27.243752,-12.712501,-33.487503,-39.60373,8.728869,-68.05093,-1.0753875,0.10395,-8.25E-4,0.043,0.583,-1.13,-0.556,9.095,3.623,27.243752,-12.712501,-33.487503,stand_to_sit
1371,stand_to_sit,-0.84900004,8.736,5.22405,-0.98175,0.0757625,-0.0012375,27.6,-12.3,-33.956253,-40.04775,8.412833,-66.91421,-0.98175,0.0757625,-0.0012375,0.05,0.29,-0.949,-0.562,9.021,3.803,27.6,-12.3,-33.956253,stand_to_sit
1391,stand_to_sit,-0.84900004,8.736,5.511,-0.9475125,0.0776875,0.0056375,27.7875,-11.64375,-34.2,-40.452507,8.130104,-65.83475,-0.9475125,0.0776875,0.0056375,0.276,0.216,-1.283,-0.567,8.947,3.974,27.7875,-11.64375,-34.2,stand_to_sit
1411,stand_to_sit,-0.84900004,8.736,5.5540504,-0.924,0.0837375,-0.001375,27.487501,-11.15625,-34.55625,-40.818607,7.8947563,-64.77474,-0.924,0.0837375,-0.001375,0.27,0.14,-1.39,-0.574,8.871,4.139,27.487501,-11.15625,-34.55625,stand_to_sit
1431,stand_to_sit,-0.89205,8.73795,5.5540504,-0.8646,0.0653125,-0.0408375,27.7875,-10.14375,-34.55625,-41.05688,7.7608194,-63.774105,-0.8646,0.0653125,-0.0408375,0.259,0.066,-1.249,-0.585,8.797,4.293,27.7875,-10.14375,-34.55625,stand_to_sit
1451,stand_to_sit,-1.2730501,8.73795,5.5540504,-0.7836125,0.0297,-0.11605,27.956251,-9.7875,-34.74375,-41.09831,7.768203,-62.84961,-0.7836125,0.0297,-0.11605,0.648,-0.004,-1.109,-0.604,8.726,4.433,27.956251,-9.7875,-34.74375,stand_to_sit
1471,stand_to_sit,-1.2589501,8.70705,6.0280504,-0.73095,0.0094875,-0.2140875,27.956251,-9.543751,-34.987503,-40.878983,7.9750295,-61.984592,-0.73095,0.0094875,-0.2140875,0.613,-0.059,-1.458,-0.639,8.657,4.561,27.956251,-9.543751,-34.987503,stand_to_sit
1490,stand_to_sit,-1.2540001,8.487,6.0280504,-0.731775,0.0138875,-0.2828375,28.143751,-8.94375,-35.100002,-40.49184,8.329193,-61.116386,-0.731775,0.0138875,-0.2828375,0.566,-0.116,-1.333,-0.686,8.586,4.686,28.143751,-8.94375,-35.100002,stand_to_sit
1512,stand_to_sit,-1.25205,8.467951,6.0210004,-0.710325,0.0103124995,-0.3141875,28.143751,-8.700001,-35.04375,-40.02855,8.745929,-60.253914,-0.710325,0.0103124995,-0.3141875,0.499,0.056,-1.211,-0.739,8.514,4.809,28.143751,-8.700001,-35.04375,stand_to_sit
1530,stand_to_sit,-1.25205,8.467951,5.9950504,-0.6505125,-0.0056375,-0.3342625,28.0125,-8.043751,-34.912502,-39.525604,9.180081,-59.44315,-0.6505125,-0.0056375,-0.3342625,0.444,-0.013,-1.071,-0.795,8.444,4.921,28.0125,-8.043751,-34.912502,stand_to_sit
1551,stand_to_sit,-1.2589501,7.9909506,6.0019503,-0.5951,-0.014712499,-0.34595,28.500002,-7.3125005,-34.55625,-38.995495,9.619082,-58.698357,-0.5951,-0.014712499,-0.34595,0.401,-0.078,-0.969,-0.851,8.379,5.023,28.500002,-7.3125005,-34.55625,stand_to_sit
1571,stand_to_sit,-1.2589501,7.9480505,6.0160503,-0.5885,0.0089375,-0.323675,29.04375,-7.0125003,-34.612503,-38.50072,10.041507,-57.978825,-0.5885,0.0089375,-0.323675,0.346,0.36,-0.886,-0.906,8.314,5.12,29.04375,-7.0125003,-34.612503,stand_to_sit
1591,stand_to_sit,-1.2610501,7.7059503,6.0210004,-0.6026625,0.0504625,-0.259325,28.9125,-7.0125003,-34.55625,-38.14972,10.384505,-57.246143,-0.6026625,0.0504625,-0.259325,0.296,0.524,-0.801,-0.956,8.247,5.218,28.9125,-7.0125003,-34.55625,stand_to_sit
1611,stand_to_sit,-1.266,7.7059503,6.0210004,-0.6078875,0.0851125,-0.20487499,29.587502,-6.3562503,-34.85625,-37.931416,10.655611,-56.512924,-0.6078875,0.0851125,-0.20487499,0.252,0.483,-0.702,-1.0,8.178,5.317,29.587502,-6.3562503,-34.85625,stand_to_sit
1631,stand_to_sit,-1.2750001,7.7059503,6.0210004,-0.5891875,0.111375,-0.1568875,29.643751,-6.0,-35.287502,-37.81987,10.868707,-55.80844,-0.5891875,0.111375,-0.1568875,0.227,0.416,-0.608,-1.039,8.111,5.412,29.643751,-6.0,-35.287502,stand_to_sit
1651,stand_to_sit,-1.2780001,7.1509504,6.0379505,-0.581625,0.1368125,-0.114675,29.456251,-5.64375,-35.287502,-37.793465,11.037078,-55.135094,-0.581625,0.1368125,-0.114675,0.193,0.868,-0.518,-1.073,8.046,5.502,29.456251,-5.64375,-35.287502,stand_to_sit
1670,stand_to_sit,-1.2780001,6.9210005,6.0379505,-0.6199875,0.1698125,-0.0790625,29.7,-4.8562503,-35.643753,-37.85462,11.170299,-54.438396,-0.6199875,0.1698125,-0.0790625,0.161,1.044,-0.438,-1.104,7.977,5.595,29.7,-4.8562503,-35.643753,stand_to_sit
1690,stand_to_sit,-1.2900001,6.9210005,6.03105,-0.6213625,0.1794375,-0.056375,29.8875,-4.55625,-35.756252,-37.974186,11.277041,-53.73111,-0.6213625,0.1794375,-0.056375,0.145,0.987,-0.344,-1.134,7.906,5.689,29.8875,-4.55625,-35.756252,stand_to_sit
1710,stand_to_sit,-1.5960001,6.9210005,6.02295,-0.6023875,0.15015,-0.0642125,29.5125,-4.14375,-35.643753,-38.090366,11.366379,-53.036964,-0.6023875,0.15015,-0.0642125,0.131,0.916,-0.239,-1.162,7.835,5.781,29.5125,-4.14375,-35.643753,stand_to_sit
1729,stand_to_sit,-1.6129501,6.6120005,6.03105,-0.5842375,0.12815,-0.0790625,29.587502,-4.14375,-35.456253,-38.126026,11.411094,-52.701607,-0.5842375,0.12815,-0.0790625,0.417,0.881,-0.195,-1.175,7.801,5.825,29.587502,-4.14375,-35.456253,stand_to_sit
